Name,Latitude,Longitude,Description,Category,Google Maps Link
St. Vitus Cathedral,50.0909,14.4005,Gothic cathedral in Prague Castle where Dr. Gessner floats above in prologue,Historical,"https://maps.google.com/?q=50.0909,14.4005"
Prague Castle,50.0900,14.4000,Largest ancient castle complex; contains Vladislav Hall where Katherine Solomon lectures,Historical,"https://maps.google.com/?q=50.0900,14.4000"
Vladislav Hall,50.0899,14.4036,Renaissance hall in Prague Castle used for indoor jousting; Katherine's lecture venue,Cultural,"https://maps.google.com/?q=50.0899,14.4036"
Wallenstein Palace,50.0903,14.4080,Palace with symmetrical gardens; Dr. Gessner drifts over these gardens in prologue,Historical,"https://maps.google.com/?q=50.0903,14.4080"
Four Seasons Hotel Prague,50.0870,14.4150,Hotel where Robert Langdon stays in Royal Suite; upgraded by manager,Accommodation,"https://maps.google.com/?q=50.0870,14.4150"
Strahov Swimming Center,50.0826,14.3909,Sports complex where Langdon swims laps each morning; 3km jog from Four Seasons,Sports,"https://maps.google.com/?q=50.0826,14.3909"
Vltava River (Central Prague),50.0865,14.4115,River snaking through Prague; visible from Castle Hill,Natural,"https://maps.google.com/?q=50.0865,14.4115"
Charles University (Historical),50.0878,14.4175,Europe's oldest university (1348); organizes lecture series with Katherine Solomon,Education,"https://maps.google.com/?q=50.0878,14.4175"
Castle Hill (Hradčany),50.0900,14.4000,Historic district containing Prague Castle; slope descends to Old Town,Historical,"https://maps.google.com/?q=50.0900,14.4000"
City of a Hundred Spires,50.0875,14.4213,Nickname for Prague; Langdon's morning view,Historical,"https://maps.google.com/?q=50.0875,14.4213"
Old Town (Staré Město),50.0875,14.4213,Historic center below Castle Hill; where Four Seasons Hotel is located,Historical,"https://maps.google.com/?q=50.0875,14.4213"